label,document,Angry,Disgust,Fear,Happiness,Sadness,Surprise
0,술 드시고 오시다가 넘어지셨대. 지금은 괜찮으셔.,1,0,0,0,0,0
0,"응, 나랑 만날때마다 맨날 늦어. 계속 친구해도 될까?",1,0,0,0,0,0
0,너무 그만두고 싶어! 진짜 다니기 싫어.,1,0,0,0,0,0
0,일도 못가고 이러고 있어.,1,0,0,0,0,0
0,나 약속 있어서 나와있는데 친구가 안와.,1,0,0,0,0,0
0,매일 매일 드셔.,1,0,0,0,0,0
0,"아니, 뭐 매번 그랬지, 뭐. 약속 있을 때마다.",1,0,0,0,0,0
0,눈치보여서 일찍 퇴근은 못할거같애.,1,0,0,0,0,0
0,"한 달 전부터 계속 얘기하는데, 소용이 없어.",1,0,0,0,0,0
0,해봤지. 걱정되니까. 근데 뭐 바뀌는게 있어야지. 그래서 지금은 가족들 다 포기상태야.,1,0,0,0,0,0
0,나만 맨날 청소하고 걔는 청소를 한번도 안했어.,1,0,0,0,0,0
0,"한 귀로 듣고 한 귀로 흘려, 걔는.",1,0,0,0,0,0
0,한달전에 주의를 한 번 줬는데 고쳐지지가 않아.,1,0,0,0,0,0
0,"약속이 있어서 친구 기다리고 있는데, 아직도 안 왔어.",1,0,0,0,0,0
0,"해 봤어. 다 왔다, 다 왔다, 계속 그런 말만 해.",1,0,0,0,0,0
0,룸메가 청소를 너무 안 하거든. 이럴 줄은 몰랐어.,1,0,0,0,0,0
0,너무 열악해. 더럽고 관리도 안되고 운영하는데 돈이 많이 필요한가 봐.,1,0,0,0,0,0
0,완전 놀랐어! 토를 했으면 치워야지. 사람들이 왜 이렇게 매너가 없을까.,1,0,0,0,0,0
0,룸메가 음식물 쓰레기도 안버리고 방을 더럽게 써.,1,0,0,0,0,0
0,요즘 바쁘다는 핑계로 사람을 계속 부려먹고 있네?,1,0,0,0,0,0
0,매번 늦어.,1,0,0,0,0,0
0,아니 왜 그렇게 약속을 안 지키는데? 장난 치는 것도 아니고. 한 두번이가 이게.,1,0,0,0,0,0
0,고등학교 동창이야.,1,0,0,0,0,0
0,어. 오늘 일찍 퇴근 못해.,1,0,0,0,0,0
0,아 그런가? 어떻게 해야 하지?,1,0,0,0,0,0
0,친구가 안 와서 너무 화가 나네?,1,0,0,0,0,0
0,그러니까. 깐깐한 상사 때문이지. 이게 다 뭐니?,1,0,0,0,0,0
0,이야기를 해도 소용이 없어.,1,0,0,0,0,0
0,정수기가 화장실 옆이라 가기가 싫으네.,1,0,0,0,0,0
0,오늘 중으로 퇴원하실 거 같애.,1,0,0,0,0,0
0,왜 나한테만 일을 시키는지 모르겠어.,1,0,0,0,0,0
0,그렇긴 하지만. 그래도 너무 짜증나.,1,0,0,0,0,0
0,"아니, 다 같이 쓰는 기숙사 공용 화장실인데 그렇게 해버리면 되겠어?",1,0,0,0,0,0
0,그게 힘들잖아!,1,0,0,0,0,0
0,많이 해봤어. 근데 소용이 없네.,1,0,0,0,0,0
0,룸메랑 자주 싸우게 돼.,1,0,0,0,0,0
0,나도 그러고 싶어.,1,0,0,0,0,0
0,아직 모르지. 말 안할거야.,1,0,0,0,0,0
0,"약속 때마다 그러니깐 질린다, 질려.",1,0,0,0,0,0
0,우리 아빠가 어제 또 다쳤어.,1,0,0,0,0,0
0,얘기 해봤지. 근데 그 때만 미안하다 그러고 고쳐지지 않아.,1,0,0,0,0,0
0,전화를 안 받아.,1,0,0,0,0,0
0,화를 내 봤는데 말을 안들어.,1,0,0,0,0,0
0,거의 한 시간째 기다리고 있어.,1,0,0,0,0,0
0,시도 해봤는데 잘 안고쳐지더라.,1,0,0,0,0,0
0,"퇴근한 지 얼마나 됐다고, 회사에서 또 연락 왔어.",1,0,0,0,0,0
0,나도 그러고 싶어.,1,0,0,0,0,0
0,술 드시고 들어오시다가 계단에서 넘어지신 거야. 그래서 지금 병원에 입원해 계셔.,1,0,0,0,0,0
0,"아, 내 룸메 진짜. 아, 우리 또 싸웠어.",1,0,0,0,0,0
0,"아, 못다녀, 못다녀! 아, 진짜 짜증나!",1,0,0,0,0,0
0,회사에서 돈을 많이 주니까. 이직을 생각하긴 해봤는데 돈 때문에 조금 어려울 거 같애.,1,0,0,0,0,0
0,나 여자친구랑 헤어졌어.,1,0,0,0,0,0
0,연락도 되지 않아. 기분이 너무 나뻐.,1,0,0,0,0,0
0,자기껄 안 치워.,1,0,0,0,0,0
0,친구가 약속을 했는데 오지를 않아.,1,0,0,0,0,0
0,아 진짜 딴 데로 옮겨야 되나봐! 월급 더 주는 것도 아니면서 왜 나한테만 일을 시켜?,1,0,0,0,0,0
0,약속이 있어서 친구 기다리고 있는데 아직 안왔어.,1,0,0,0,0,0
0,회사에서 자꾸 부당하다는 생각이 드니까 자꾸 이직 생각을 안할래야 안할 수가 없네.,1,0,0,0,0,0
0,퇴근한지 얼마나 됐다고 회사에서 또 연락왔어.,1,0,0,0,0,0
0,그 룸메이트가 청소를 한 번을 하지를 않는거야. 음식물 쓰레기도 막 갖다버리고.,1,0,0,0,0,0
0,너무 더러워. 청소를 안해.,1,0,0,0,0,0
0,깜짝 놀랐어. 매너 없게 대체 누가 그랬을까?,1,0,0,0,0,0
0,응. 응. 말해도 고쳐지질 않아. 엄청 자주 먹어.,1,0,0,0,0,0
