label,document,Angry,Disgust,Fear,Happiness,Sadness,Surprise
0,"어, 아마 그럴거야. 당장 치울 수 있는 수준의 것이 아니야. 절대 가지 마, 너는.",1,0,0,0,0,0
0,약속있어서 친구 기다리고 있는데 아직도 안왔어.,1,0,0,0,0,0
0,요즘 들어서 심해졌어. 처음에는 10분이더니 이젠 한시간이야.,1,0,0,0,0,0
0,얘기를 해도 소용이 없어.,1,0,0,0,0,0
0,진짜 너무 더러웠어.,1,0,0,0,0,0
0,주의를 줬어. 그런데 똑같애.,1,0,0,0,0,0
0,연락을 했는데 전화를 받지를 않아.,1,0,0,0,0,0
0,늦을 때마다 이야기는 해봤지. 화도 내보고. 다음엔 안 그러겠다고 하지만 약속 시간 되면 또 늦어!,1,0,0,0,0,0
0,청소할 때마다 화 내고 싸웠지. 하지만 처음만 괜찮아지는 것 같더니 다시 똑같애지고 있어.,1,0,0,0,0,0
0,어제 밤을 새워서 기획안을 완성했어. 완성된 기획안을 상사한테 제출했더니 잘못됐다고 다시 만들어오래.,1,0,0,0,0,0
0,말해야될 것 같아.,1,0,0,0,0,0
0,모르겠어! 아무튼 정말 짜증만 나!,1,0,0,0,0,0
0,"약속이 있어서 친구를 기다리고 있는데, 아직도 안왔어!",1,0,0,0,0,0
0,약속이 있어서 친구 기다리는데 한시간 째 안온다. 진짜 대단하지?,1,0,0,0,0,0
0,말도 못 꺼내게 하는데 무슨 얘기를 하노.,1,0,0,0,0,0
0,"안그래도 이직을 생각하고 있는데, 내가 모르는 건가? 다른 회사도 이래?",1,0,0,0,0,0
0,나 지금 약속 한시간 연락도 안돼.,1,0,0,0,0,0
0,우리 아빠가 또 다쳤어.,1,0,0,0,0,0
0,항상 자기가 먹고는 전혀 치우질 않아!,1,0,0,0,0,0
0,어제도 관리하시는 분이 치우셨거든.,1,0,0,0,0,0
0,회사 자체가 바쁘긴 해. 매일 야근에 점심 시간도 없이 일하고 있는데 또 연락이 오면 나는 정말 언제 쉬라는 거야?!,1,0,0,0,0,0
0,감기 걸려서 힘들게 계획안을 작성해서 상사한테 보여줬는데 지적만 당했어.,1,0,0,0,0,0
0,"집을 너무 더럽게 쓰는데, 청소도 하지도 않아.",1,0,0,0,0,0
0,"약속이 있어서 친구 기다리고 있는데, 아직 안 왔어.",1,0,0,0,0,0
0,일주일에 다섯 번은 마시는 것 같애.,1,0,0,0,0,0
0,룸메이트와 너무 자주 싸우게 돼.,1,0,0,0,0,0
0,퇴근한지 얼마나 됐다고 회사에서 또 연락 왔어!,1,0,0,0,0,0
0,"퇴근한 지 얼마나 됐다고, 회사에서 또 일을 줬어요, 아주!",1,0,0,0,0,0
0,고등학교 때 친구랑 저녁약속을 했는데 친구가 아직까지 안 와.,1,0,0,0,0,0
0,맨날 이래.,1,0,0,0,0,0
0,"그럴 거 같긴 한데. 어휴, 하루 이틀이어야지, 술 먹고 그러는게.",1,0,0,0,0,0
0,우리 아빠가 또 다쳤어!,1,0,0,0,0,0
0,지금 당장 가서 관리하시는 분께 화장실에 토를 치워달라고 부탁드려야 겠어.,1,0,0,0,0,0
0,덥고 짜증나 죽겠는데 친구는 연락도 안 받아.,1,0,0,0,0,0
0,약속이 있어서 친구를 기다리는데 친구가 아직도 안 와.	,1,0,0,0,0,0
0,"만날 때마다 얘기하지. 그러면 그 때는 분명히 늦지 않겠다고 다짐하는데, 막상 이렇게 약속하고 만나려고 하면 또 또 늦는거야!",1,0,0,0,0,0
0,아 나 지금 밖이야.,1,0,0,0,0,0
0,방을 너무 더럽게 사용해.,1,0,0,0,0,0
0,청실 시간을 정해놨거든. 그런데 약속있다고 나가버리잖아.,1,0,0,0,0,0
0,룸메이트랑 자주 싸우게 돼.,1,0,0,0,0,0
0,나한테만 일 엄청 줘. 정말 다니기 싫어!,1,0,0,0,0,0
0,유기견 다큐멘터리를 봤는데 책임감 없는 사람들 진짜 너무하더라.,1,0,0,0,0,0
0,또 준비해야하는데 너무 힘들다.,1,0,0,0,0,0
0,유기견 다큐멘터리를 봤는데 책임감 없는 사람들 정말 너무하더라.,1,0,0,0,0,0
0,응. 거의 나만 청소를 한다고 하면 되지. 화는 내봤어. 내가 참다 못해서 한달 전에 뭐라고 했는데 처음에는 조금 고쳐지는 것 같더니 결국에는 똑같애.,1,0,0,0,0,0
0,너무 지저분하다니까. 집 청소를 하질 않아.,1,0,0,0,0,0
0,"친구랑 약속 있어서 나왔는데, 친구가 아직도 오지도 않고 있어.",1,0,0,0,0,0
0,물 마시면 화장실 가야하잖아. 물도 못 마시고 있어.,1,0,0,0,0,0
0,"야, 나 방금 퇴근해서 인제 겨우 쉬고 있는데 회사에서 또 전화온 거 있지?",1,0,0,0,0,0
0,"돈이 문제지, 돈이.",1,0,0,0,0,0
0,지난 달에 내가 분명히 주의를 줬거든. 근데 아무런 달라진 게 없어.,1,0,0,0,0,0
0,약속 장소에서 친구를 기다린 지 한 시간이나 넘었어. 그런데 친구가 연락도 없고 올 생각을 안 해!,1,0,0,0,0,0
0,눈치 보이게 어떻게 일찍 퇴근을 해.,1,0,0,0,0,0
