label,document,Angry,Disgust,Fear,Happiness,Sadness,Surprise
2.0,어제 저녁에 진짜 무서웠어!,0,0,1,0,0,0
4.0,알겠어. 그런데 마음이 편칠 않아.,0,0,0,0,1,0
4.0,맞아 해피는 좋은 곳으로 갔을 거야 고마워.	,0,0,0,0,1,0
4.0,아프진 않았어. 그저께 밤에 갑자기 의식을 잃어버리더라고.,0,0,0,0,1,0
4.0,그저께 저녁에 해피가 갑자기 의식을 잃어서 동물병원 응급실로 데려갔어. 동물병원 응급실에서 치료를 받으면서 회복되는 것 같았는데 결국에는 세상을 떠났어.,0,0,0,0,1,0
4.0,아니. 마음 아파서 우리 강아지 못 보내겠다. 어떻게 이렇게 보내주니!,0,0,0,0,1,0
4.0,모두 슬퍼하고 계셔. 믿겨지지가 않아 정말.,0,0,0,0,1,0
1.0,나도 너무 지치고 힘들어서 직장을 옮기고 싶어. 하지만 요새 직장 구하기가 너무 힘들어 그래서 당분간은 다녀야 할 것 같아.,0,1,0,0,0,0
4.0,유기견 다큐멘터리 봤는데 책임감 없는 사람들 정말 너무하더라.,0,0,0,0,1,0
4.0,생활비가 다 떨어졌어.,0,0,0,0,1,0
4.0,슬픔은 이루 말할 수가 없어 15년 동안 같이 지내 왔던 가족같은 아이였어.	,0,0,0,0,1,0
1.0,늦을 때마다 이야긴 해봤지. 미안하다고하고 고치겠다고 해. 그러고는 또 똑같이 늦고 있어.,0,1,0,0,0,0
4.0,바쁘다는 일로 징징거리기엔 우리 회사는 너무 바빠. 다들 눈코 뜰 새 없어.,0,0,0,0,1,0
1.0,연락해 봤는데 아직 오는 중이래.	,0,1,0,0,0,0
2.0,집에 반찬이 조금 남아있긴 해. 한 일주일은 버틸 수 있을 것 같애.,0,0,1,0,0,0
4.0,응. 최근에 작년보다 세 배나 더 늘었대. 아이들이 너무 불쌍해보였어.,0,0,0,0,1,0
2.0,진짜 무서웠어.	,0,0,1,0,0,0
1.0,약속 있어서 친구 기다리고 있는데 아직 안 왔어.,0,1,0,0,0,0
4.0,해피가 이 세상에 없다고 생각하니까 너무 허전하고 슬퍼서 어제는 하루종일 울었어.	,0,0,0,0,1,0
0.0,"친구가 약속 시간에 너무 늦어서 화가 나기도 하고, 친구한테 무슨 일 있는 거 같아서 전화를 했는데 전화를 안 받아.",1,0,0,0,0,0
4.0,워낙 중요한 약속이라 미루기는 좀 힘들 것 같아.,0,0,0,0,1,0
4.0,내가 만들어 간 기획안이 다 잘못 됐다고 하니까 모든 게 내 잘못 같았어.	,0,0,0,0,1,0
0.0,약속이 있어서 친구를 기다리는데 친구가 아직 안 와!,1,0,0,0,0,0
4.0,맞아. 다른 회사 빨리 준비해야 하긴 해.,0,0,0,0,1,0
1.0,요새 일이 많아서 매일 야근하는 것도 힘든데 이번에 또 전화와서 새로운 업무를 주겠다는 거야! 너무 지치고 힘들어.,0,1,0,0,0,0
4.0,나 면접 또 떨어졌어.,0,0,0,0,1,0
4.0,이번 기획안만 최선을 다해서 다시 한번 해보고 그 뒤에 쉬어도 늦지 않아.	,0,0,0,0,1,0
2.0,지금 바이러스가 퍼져있는 강남이야. 정말 무서운 곳이지.,0,0,1,0,0,0
4.0,술을 많이 마시고 집 계단을 오르다가 넘어져서 허리 다쳤어!,0,0,0,0,1,0
4.0,오늘이 발표 날이라서 기다려봤더니 연락이 안 오잖아. 그래서 알아봤지. 내 이름이 명단에 없대.,0,0,0,0,1,0
1.0,룸메이트와 너무 자주 싸우고 있어.	,0,1,0,0,0,0
1.0,룸메이트랑 스트레스 받아서 같이 못 살겠어.,0,1,0,0,0,0
1.0,응. 학교 때부터도 아주 늦게 오기로는 소문이 났어 정말. ,0,1,0,0,0,0
4.0,나 면접 또 떨어졌어.,0,0,0,0,1,0
4.0,나는 잘하는 게 없나봐!,0,0,0,0,1,0
2.0,이 회사가 공채로 뽑는 마지막 회사야. 다른 회사는 준비한 적이 없어.,0,0,1,0,0,0
2.0,그럼 좋겠는데 내일까지 다시 써야해서 지금도 얼른 일해야돼.,0,0,1,0,0,0
2.0,어제 저녁에 진짜 무서웠어.,0,0,1,0,0,0
4.0,네 잘못이 아니면 누구 잘못인데.,0,0,0,0,1,0
1.0,청소를 너무 안 해. 너무 지저분하고 음식물도 구별을 잘 못해.,0,1,0,0,0,0
2.0,괜찮으셔. 하지만 병원에 며칠 계셔야 한대.,0,0,1,0,0,0
2.0,가족끼리 이야기를 해도 맨날 화만 내셔.,0,0,1,0,0,0
0.0,"퇴근한 지 얼마나 됐다고, 회사에서 또 연락이 왔어.",1,0,0,0,0,0
4.0,남자 친구가 갑자기 권태기가 왔다고 잠깐 떨어져 있다고 했어 그런데 나중에 알고 보니까 새로운 여자 친구가 생긴 거야 그래서 결국 헤어지게 됐어.	,0,0,0,0,1,0
2.0,나 내일 약속 있는데 그대로 나가도 될까?	,0,0,1,0,0,0
4.0,헤어진 지 이제 두 달 다 돼가 참 잊기 힘들어.,0,0,0,0,1,0
0.0,지금 하고 있는 일도 너무 많아서 매일 야근하는데 또 새로운 업무를 준다고 하니까 힘들어서 회사 다니기 싫어.	,1,0,0,0,0,0
4.0,갑자기 권태기가 왔다고 시간 좀 갖자고 그래.,0,0,0,0,1,0
4.0,이번 면접은 꼭 붙을 거라고 생각했는데 떨어지고 나니까 너무 실망스러워서 밥맛도 없어.,0,0,0,0,1,0
0.0,벌써 한시간째야. 너무 힘들어.,1,0,0,0,0,0
4.0,모르겠어. 그냥 다 하기 싫고 입맛도 없고 그래.,0,0,0,0,1,0
4.0,버텨야지 어쩌겠어. 내가 이 회사 들어오려고 얼마나 노력했는데.,0,0,0,0,1,0
0.0,술 드시고 오시다가 집 앞에서 넘어지셨대.,1,0,0,0,0,0
4.0,내가 다 잘못한 것 같아서 마음이 너무 불편해.,0,0,0,0,1,0
1.0,유기견 다큐멘터리를 봤는데 책임감 없는 사람들 정말 너무하더라.,0,1,0,0,0,0
0.0,그자식이 갑자기 헤어지재!,1,0,0,0,0,0
4.0,나 요즘 허리가 너무 아픈 것 같아.,0,0,0,0,1,0
4.0,요새 매일 우울한 기분이 들어.,0,0,0,0,1,0
1.0,처음부터 이러지 않았거든. 최근들어서 몇 번 늦더라고.,0,1,0,0,0,0
4.0,나 면접에서 또 떨어졌어.,0,0,0,0,1,0
4.0,내가 많이 부족한 탓이긴 해. 그 부족함을 메우려고 노력 좀 해야 되겠어.,0,0,0,0,1,0
0.0,당연히 도착하자마자 연락을 했지. 그때도 전화 안 받더니 지금도 전화 안 받아.,1,0,0,0,0,0
2.0,친구가 허리 디스크 때문에 병원에 갔다가 주사를 맞았는데 그 고통 너무 끔찍하대. 나 무서워.,0,0,1,0,0,0
0.0,이쁠 때 강아지를 키우다가 나이가 들면 버리는 거야.,1,0,0,0,0,0
4.0,이야기를 해도 고쳐지질 않아서 걱정이야.,0,0,0,0,1,0
4.0,해피가 갑자기 떠나게 돼서 가족들이 너무 슬퍼하고 허전해 해.,0,0,0,0,1,0
2.0,친구랑 밥먹고 있는데 갑자기 지진이 발생한 거야. 얼마나 놀랐나 몰라.,0,0,1,0,0,0
4.0,술 먹고 계단에서 넘어졌어.,0,0,0,0,1,0
4.0,응 아까 통화해서 얘기 했어 근데 말로는 똑같이 위로해 주시는 것 같은데 솔직히 실망 많이 하셨을 거야.	,0,0,0,0,1,0
2.0,약속 시간에 지각하는 거에 대해서 친구한테 이야기 하려고 했는데 이야기 하고 나면 서로 싸움이 될까봐 이야기 못 했어.,0,0,1,0,0,0
0.0,"내가 유기견 다큐멘터리를 봤는데, 책임감 없는 사람들 진짜 너무하더라.",1,0,0,0,0,0
4.0,술 드시고 오시다가 계단에서 넘어지셨대.,0,0,0,0,1,0
4.0,내가 먼저 한 약속이라 미루기는 좀 그래.	,0,0,0,0,1,0
4.0,요즘 들어서 시름시름 앓더라고. 그러더니 어제는 눈을 못 떴어. 그냥 저세상으로 갔어.,0,0,0,0,1,0
4.0,아침부터 입맛이 없어서 아무것도 못 먹고 있어.,0,0,0,0,1,0
3.0,정말 잘 맞았지. 그 사람이랑 나랑 천생연분이란 소리까지 듣고 있었거든.,0,0,0,1,0,0
1.0,룸메와 너무 자주 싸우게 돼.,0,1,0,0,0,0
4.0,십오 년을 동거동락을 했으니 가족들 마음이 힘들겠지.,0,0,0,0,1,0
4.0,아니. 월급날이 2주나 남았는데 생활비가 바닥이 난 거야.,0,0,0,0,1,0
4.0,생명엔 지장 없어. 하지만 또 몇바늘 꿰메셨어.,0,0,0,0,1,0
4.0,요즘 다른데 일자리 구하기도 힘들잖아 그래서 참고 있는 거야.	,0,0,0,0,1,0
4.0,그렇긴 한데 내일 아침까지 다시 꼭 내라고 하니까 시간이 없어서.,0,0,0,0,1,0
4.0,감기 걸려서 지금 컨디션도 안 좋거든.,0,0,0,0,1,0
4.0,그저께 저녁에 갑자기 의식 잃고 쓰러져서 동물 병원 응급실로 데려갔어. 의식도 찾고 좀 회복되는 거 같았는데 결국엔 세상을 떠났어.,0,0,0,0,1,0
0.0,약속을 잡을 때마다 매번 약속 시간에 늦어서 너무 화가 나고 속상해.	,1,0,0,0,0,0
0.0,"덥고 짜증 나 죽겠는데, 친구는 전활 안 받아.",1,0,0,0,0,0
4.0,지금 감기에도 걸리고 일도 해야되고 나갈 시간이 없어. 여유가 없다.,0,0,0,0,1,0
4.0,우리 아빠가 어제 또 다쳤어.,0,0,0,0,1,0
4.0,생활비 이만원으로 이주 정도 버텨야 해.,0,0,0,0,1,0
3.0,오늘 회사에서 전화가 와서 너무 지치고 힘들었는데 너한테 이야기하고나니까 마음이 조금 풀렸어.,0,0,0,1,0,0
4.0,며칠 전부터 아이가 힘을 못 쓰더라구. 그러더니 지난 밤에 그냥 자다가 간 것 같아.,0,0,0,0,1,0
1.0,엄청 자주 드셔. 일주일에 다섯번은 기본이야.,0,1,0,0,0,0
